symbol, name, currency, stockExchange, exchangeShortName
"TAGB.L","VanEck iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF","GBP","London Stock Exchange","LSE",
"WEBAX","TETON Westwood Balanced Fund Class AAA","USD","NASDAQ","NASDAQ",
"CLOA","BlackRock ETF Trust II - BlackRock AAA CLO ETF","USD","NASDAQ Global Market","NASDAQ",
"HPBK.DE","Heliad Equity Partners GmbH & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"GVCAX","The Gabelli Value 25 Fund Inc. Class AAA","USD","NASDAQ","NASDAQ",
"GABBX","The Gabelli Dividend Growth Fd Class AAA","USD","NASDAQ","NASDAQ",
"SGF.DE","SGT German Private Equity GmbH & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"GAI.DE","SGT German Private Equity GmbH & Co. KGaA","EUR","XETRA","XETRA",
"UEFY.DE","UBS (Lux) Fund Solutions – SBI Foreign AAA-BBB 1-5 ESG UCITS ETF","EUR","Frankfurt Stock Exchange","XETRA",
"UEFZ.DE","UBS (Lux) Fund Solutions – SBI Foreign AAA-BBB 5-10 ESG UCITS ETF","EUR","Frankfurt Stock Exchange","XETRA",
"AULRF","AURELIUS Equity Opportunities SE & Co. KGaA","USD","Other OTC","PNK",
"AR4.DE","AURELIUS Equity Opportunities SE & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"WESRX","TETON Convertible Securities Fund - Class AAA","USD","NASDAQ","NASDAQ",
"NC5A.DE","NorCom Information Technology GmbH & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
"GIGRX","Gabelli International Growth Fund, Inc. Class AAA","USD","NASDAQ","NASDAQ",
"GWSVX","The Gabelli Focused Growth And Income Fund Class AAA","USD","NASDAQ","NASDAQ",
"ACAEUC.CO","Aif-Vaerdipapirfonden Accunia Invest European Clo Aaa/Aa.(Kl)","DKK","Copenhagen","CPH",
"S6P.DE","Spielvereinigung Unterhaching Fußball GmbH & Co. KGaA","EUR","Frankfurt Stock Exchange","XETRA",
